Date,Tourn,Rnd,Match,Score,Tries,Pnts,Venue,Neut. 
"Sat, 07 Feb 1998",5N, , v ENG,24-17,2:1,4-1,"Stade de France, Paris", 
"Sat, 07 Feb 1998", ,[ v ITA,23-20,2:2,4-1,Llanelli, 
"Sat, 21 Feb 1998",5N, ,SCO v ,16-51,1:7,0-5,"Murrayfield, Edinburgh", 
"Sat, 21 Feb 1998",5N, , v WAL,60-26,8:4,5-1,"Twickenham, London", 
"Sat, 07 Mar 1998",5N, , v SCO,19-13,1:2,4-1,"Wembley Stadium, London", 
"Sat, 07 Mar 1998",5N, , v IRE,18-16,2:1,4-1,"Stade de France, Paris", 
"Sat, 21 Mar 1998",5N, ,IRE v ,21-30,2:3,0-4,"Lansdowne Rd, Dublin", 
"Sun, 22 Mar 1998","5N,CA", ,SCO v ,20-34,2:4,0-5,"Murrayfield, Edinburgh", 
"Sat, 04 Apr 1998",5N, , v IRE,35-17,4:2,5-0,"Twickenham, London", 
"Sun, 05 Apr 1998",5N, ,WAL v ,0-51,0:7,0-5,"Wembley Stadium, London", 
"Tue, 26 May 1998",ST, , v SCO,51-26,7:2,5-0,"National Stadium, Suva", 
"Sat, 06 Jun 1998","ST,CC",a , v ENG,76-0,11:0,5-0,"Lang Park, Brisbane", 
"Sat, 06 Jun 1998",ST, ,ZIM v ,11-49,1:8,0-5,Harare, 
"Sat, 13 Jun 1998",ST, ,ARG v ,18-35,2:5,0-5,"Velez Sarsfield, Buenos Aires", 
"Sat, 13 Jun 1998",ST, , v IRE,37-13,5:1,5-0,"Vodacom Park, Bloemfontein", 
"Sat, 13 Jun 1998","ST,HC",1 , v SCO,45-3,4:0,5-0,"Football Stadium, Sydney", 
"Sat, 20 Jun 1998",ST,1 , v ENG,64-22,9:3,5-0,"Carisbrook, Dunedin", 
"Sat, 20 Jun 1998",ST, ,ARG v ,12-37,0:5,0-5,"Velez Sarsfield, Buenos Aires", 
"Sat, 20 Jun 1998",ST, , v IRE,33-0,5:0,5-0,"Loftus Versfeld, Pretoria", 
"Sat, 20 Jun 1998","ST,HC",2 , v SCO,33-11,4:1,5-0,"Ballymore, Brisbane", 
"Sat, 27 Jun 1998",ST, , v WAL,96-13,15:1,5-0,"Loftus Versfeld, Pretoria", 
"Sat, 27 Jun 1998",ST,2 , v ENG,40-10,6:1,5-0,"Eden Park, Auckland", 
"Sat, 27 Jun 1998",ST, ,FIJ v ,9-34,0:4,0-5,"National Stadium, Suva", 
"Sat, 04 Jul 1998",ST, , v ENG,18-0,2:0,4-0,"Newlands, Cape Town", 
"Sat, 11 Jul 1998","3N,BC",n , v NZL,24-16,2:2,4-0,"Cricket Ground, Melbourne", 
"Sat, 18 Jul 1998",3N, ,AUS v ,13-14,2:1,1-4,"Subiaco Oval, Perth_AUS", 
"Sat, 25 Jul 1998",3N, ,NZL v ,3-13,0:1,0-4,"Athletic Park, Wellington", 
"Sat, 01 Aug 1998","3N,BC",a ,NZL v ,23-27,2:4,1-5,"Jade Stadium, Christchurch", 
"Sat, 08 Aug 1998", ,[ v ROM,68-22,9:2,5-0,Rosario, 
"Sat, 15 Aug 1998",WQ, , v USA,52-24,5:2,5-0,"Cricket & Rugby, Buenos Aires", 
"Sat, 15 Aug 1998",3N, , v NZL,24-23,4:2,5-1,"Kings Park Stadium, Durban", 
"Tue, 18 Aug 1998",WQ, , v URU,55-0,6:0,5-0,"CASI, Buenos Aires", 
"Sat, 22 Aug 1998",WQ, , v CAN,54-28,5:1,5-0,"Cricket & Rugby, Buenos Aires", 
"Sat, 22 Aug 1998",3N, , v AUS,29-15,2:0,4-0,"Ellis Park, Johannesburg", 
"Sat, 29 Aug 1998",BC,a , v NZL,19-14,1:1,4-1,"Football Stadium, Sydney", 
"Tue, 15 Sep 1998", ,[ v ARG,44-29,4:4,5-1,"Prince Chichibu Stadium, Tokyo", 
"Fri, 18 Sep 1998",WQ, , v FIJ,66-20,9:2,5-0,"Parramatta Stadium, Sydney", 
"Fri, 18 Sep 1998",WQ, , v TON,28-20,3:3,4-0,"Parramatta Stadium, Sydney",Y
"Tue, 22 Sep 1998",WQ, , v TON,74-0,12:0,5-0,"Bruce Stadium, Canberra", 
"Sat, 26 Sep 1998",WQ, , v SAM,25-13,3:2,4-0,"Ballymore, Brisbane", 
"Sat, 07 Nov 1998",AI, , v ARG,23-19,2:1,4-1,Piacenza, 
"Sat, 14 Nov 1998",WQ, , v GEO,70-0,10:0,5-0,"Lansdowne Rd, Dublin", 
"Sat, 14 Nov 1998",AI, ,WAL v ,20-28,1:3,0-4,"Wembley Stadium, London", 
"Sat, 14 Nov 1998",WQ, , v NET,110-0,16:0,5-0,"McAlpine Stdm, Huddersfield", 
"Sat, 14 Nov 1998",AI, , v ARG,34-14,5:1,5-0,Nantes, 
"Sat, 21 Nov 1998",WQ, , v ROM,53-35,7:5,5-1,"Lansdowne Rd, Dublin", 
"Sat, 21 Nov 1998",AI, ,SCO v ,10-35,1:5,0-5,"Murrayfield, Edinburgh", 
"Sat, 21 Nov 1998",AI, , v ARG,43-30,4:4,5-1,Llanelli, 
"Sat, 21 Nov 1998",AI, ,FRA v ,21-32,2:3,0-4,"Stade de France, Paris", 
"Sun, 22 Nov 1998",WQ, , v ITA,23-15,2:0,4-0,"McAlpine Stdm, Huddersfield", 
"Sat, 28 Nov 1998","AI,CC",a ,ENG v ,11-12,1:0,1-4,"Twickenham, London", 
"Sat, 28 Nov 1998",AI, ,IRE v ,13-27,1:3,0-4,"Lansdowne Rd, Dublin", 
"Sat, 05 Dec 1998",AI, , v SAF,13-7,1:1,4-1,"Twickenham, London", 
"Sat, 06 Feb 1999",5N, ,IRE v ,9-10,0:1,1-4,"Lansdowne Rd, Dublin", 
"Sat, 06 Feb 1999",5N, , v WAL,33-20,4:2,5-0,"Murrayfield, Edinburgh", 
"Sat, 20 Feb 1999","5N,CA", , v SCO,24-21,3:3,4-1,"Twickenham, London", 
"Sat, 20 Feb 1999",5N, ,WAL v ,23-29,2:2,1-4,"Wembley Stadium, London", 
"Sat, 06 Mar 1999",5N, ,IRE v ,15-27,0:2,0-4,"Lansdowne Rd, Dublin", 
"Sat, 06 Mar 1999",5N, ,FRA v ,33-34,4:3,2-4,"Stade de France, Paris", 
"Sat, 06 Mar 1999", ,[ v ITA,30-12,3:2,4-0,"Murrayfield, Edinburgh", 
"Sat, 20 Mar 1999",5N, , v IRE,30-13,4:1,5-0,"Murrayfield, Edinburgh", 
"Sat, 20 Mar 1999",5N, , v FRA,21-10,0:1,4-0,"Twickenham, London", 
"Sat, 20 Mar 1999", ,I['WAL'],21-60,2:7,0-5,Treviso, 
"Sat, 10 Apr 1999",5N, ,FRA v ,22-36,3:5,0-5,"Stade de France, Paris", 
"Sat, 10 Apr 1999", ,[ v ITA,39-30,5:3,5-0,"Lansdowne Rd, Dublin", 
"Sun, 11 Apr 1999",5N, , v ENG,32-31,2:3,4-1,"Wembley Stadium, London", 
"Thu, 03 Jun 1999", ,[ v ROM,62-8,9:1,5-0,Castres, 
"Sat, 05 Jun 1999",ST, ,ARG v ,26-36,2:3,0-4,"FC Oeste, Buenos Aires", 
"Sat, 05 Jun 1999", ,SAM v TON,6-6,0:0,2-2,Apia, 
"Sat, 12 Jun 1999",ST, ,ARG v ,16-23,1:1,1-4,"FC Oeste, Buenos Aires", 
"Sat, 12 Jun 1999",ST, , v ITA,74-3,11:0,5-0,"Boet Erasmus, Pt Elizabeth", 
"Sat, 12 Jun 1999",ST, , v IRE,46-10,6:1,5-0,"Ballymore, Brisbane", 
"Sat, 12 Jun 1999",ST, ,SAM v ,22-39,1:5,0-5,Apia, 
"Wed, 16 Jun 1999",ST, , v FRA,20-16,3:1,4-1,Nuku A'lofa, 
"Fri, 18 Jun 1999", ,[ v SAM,71-13,9:1,5-0,Albany, 
"Sat, 19 Jun 1999",ST, , v ITA,101-0,15:0,5-0,"Kings Park Stadium, Durban", 
"Sat, 19 Jun 1999",ST, , v IRE,32-26,2:3,4-1,"Subiaco Oval, Perth_AUS", 
"Sat, 26 Jun 1999","ST,CC",a , v ENG,22-15,4:2,5-1,"Stadium Australia, Sydney", 
"Sat, 26 Jun 1999",ST, , v FRA,54-7,7:1,5-0,"Athletic Park, Wellington", 
"Sat, 26 Jun 1999", ,[ v SAF,29-19,2:2,4-0,"Millennium Stadium, Cardiff", 
"Sat, 10 Jul 1999",3N, , v SAF,28-0,3:0,4-0,"Carisbrook, Dunedin", 
"Sat, 17 Jul 1999",3N, , v SAF,32-6,4:0,5-0,"Lang Park, Brisbane", 
"Sat, 24 Jul 1999","3N,BC",a , v AUS,34-15,1:2,4-0,"Eden Park, Auckland", 
"Sat, 07 Aug 1999",3N, ,SAF v ,18-34,2:2,0-4,"Loftus Versfeld, Pretoria", 
"Sat, 14 Aug 1999",3N, , v AUS,10-9,1:0,4-1,"Newlands, Cape Town", 
"Sat, 21 Aug 1999",WU, ,SCO v ,22-31,3:3,0-4,"Murrayfield, Edinburgh", 
"Sat, 21 Aug 1999",WU, , v CAN,33-19,2:1,4-0,"Millennium Stadium, Cardiff", 
"Sat, 21 Aug 1999",WU, , v USA,106-8,16:1,5-0,"Twickenham, London", 
"Sat, 28 Aug 1999",WU, , v ARG,32-24,4:3,5-0,"Lansdowne Rd, Dublin", 
"Sat, 28 Aug 1999",WU, , v ROM,60-19,8:1,5-0,"Hampden Park, Glasgow", 
"Sat, 28 Aug 1999",WU, , v FRA,34-23,1:2,4-0,"Millennium Stadium, Cardiff", 
"Sat, 28 Aug 1999",WU, , v CAN,36-11,5:1,5-0,"Twickenham, London", 
"Sat, 28 Aug 1999",WU, ,ITA v ,32-50,3:5,0-5,L'Aquila, 
"Sat, 28 Aug 1999","3N,BC",a , v NZL,28-7,1:1,4-0,"Stadium Australia, Sydney", 
"Fri, 01 Oct 1999",WC,P['WAL'], v ARG,23-18,2:0,4-1,"Millennium Stadium, Cardiff", 
"Fri, 01 Oct 1999",WC,P['FIJ'], v NAM,67-18,9:2,5-0,"Stade Mediterranee, Beziers",Y
"Sat, 02 Oct 1999",WC,P['IRE'], v USA,53-8,7:1,5-0,"Lansdowne Rd, Dublin", 
"Sat, 02 Oct 1999",WC,P['ENG'], v ITA,67-7,8:1,5-0,"Twickenham, London", 
"Sat, 02 Oct 1999",WC,P['FRA'], v CAN,33-20,4:2,5-0,"Stade Mediterranee, Beziers", 
"Sat, 02 Oct 1999",WC,P['URU'],SPA v ,15-27,0:3,0-4,Galashiels,Y
"Sun, 03 Oct 1999",WC,P['SAF'],SCO v ,29-46,2:6,0-5,"Murrayfield, Edinburgh", 
"Sun, 03 Oct 1999",WC,P['AUS'], v ROM,57-9,9:0,5-0,"Ravenhill, Belfast",Y
"Sun, 03 Oct 1999",WC,P['NZL'], v TON,45-9,5:0,5-0,"Ashton Gate, Bristol",Y
"Sun, 03 Oct 1999",WC,P['SAM'], v JAP,43-9,5:0,5-0,Wrexham,Y
"Fri, 08 Oct 1999",WC,P['SCO'], v URU,43-12,6:0,5-0,"Murrayfield, Edinburgh", 
"Fri, 08 Oct 1999",WC,P['FRA'], v NAM,47-13,6:1,5-0,"Stade Municipal, Bordeaux", 
"Sat, 09 Oct 1999",WC,P['WAL'], v JAP,64-15,9:2,5-0,"Millennium Stadium, Cardiff", 
"Sat, 09 Oct 1999",WC,P['NZL'],ENG v ,16-30,1:3,0-4,"Twickenham, London", 
"Sat, 09 Oct 1999",WC,P['FIJ'], v CAN,38-22,4:1,5-0,"Stade Municipal, Bordeaux",Y
"Sat, 09 Oct 1999",WC,P['ROM'],USA v ,25-27,3:4,1-5,"Lansdowne Rd, Dublin",Y
"Sun, 10 Oct 1999",WC,P['AUS'],IRE v ,3-23,0:2,0-4,"Lansdowne Rd, Dublin", 
"Sun, 10 Oct 1999",WC,P['SAF'], v SPA,47-3,7:0,5-0,"Murrayfield, Edinburgh",Y
"Sun, 10 Oct 1999",WC,P['ARG'], v SAM,32-16,1:1,4-0,Llanelli,Y
"Sun, 10 Oct 1999",WC,P['TON'],ITA v ,25-28,1:3,1-4,"Welford Rd, Leicester",Y
"Thu, 14 Oct 1999",WC,P['SAM'],WAL v ,31-38,3:5,1-5,"Millennium Stadium, Cardiff", 
"Thu, 14 Oct 1999",WC,P['AUS'], v USA,55-19,8:1,5-0,"Thomond Park, Limerick",Y
"Thu, 14 Oct 1999",WC,P['NZL'], v ITA,101-3,14:0,5-0,"McAlpine Stdm, Huddersfield",Y
"Thu, 14 Oct 1999",WC,P['CAN'], v NAM,72-11,9:1,5-0,Stade Toulouse,Y
"Fri, 15 Oct 1999",WC,P['IRE'], v ROM,44-14,5:1,5-0,"Lansdowne Rd, Dublin", 
"Fri, 15 Oct 1999",WC,P['ENG'], v TON,101-10,13:1,5-0,"Twickenham, London", 
"Fri, 15 Oct 1999",WC,P['SAF'], v URU,39-3,5:0,5-0,"Hampden Park, Glasgow",Y
"Sat, 16 Oct 1999",WC,P['SCO'], v SPA,48-0,7:0,5-0,"Murrayfield, Edinburgh", 
"Sat, 16 Oct 1999",WC,P['FRA'], v FIJ,28-19,3:1,4-0,Stade Toulouse, 
"Sat, 16 Oct 1999",WC,P['ARG'], v JAP,33-12,2:0,4-0,"Millennium Stadium, Cardiff",Y
"Wed, 20 Oct 1999",WC,QFpo , v SAM,35-20,3:2,4-0,"Murrayfield, Edinburgh", 
"Wed, 20 Oct 1999",WC,QFpo , v FIJ,45-24,4:3,5-0,"Twickenham, London", 
"Wed, 20 Oct 1999",WC,QFpo ,IRE v ,24-28,0:1,1-4,Lens,Y
"Sat, 23 Oct 1999",WC,Q['AUS'],WAL v ,9-24,0:3,0-4,"Millennium Stadium, Cardiff", 
"Sun, 24 Oct 1999",WC,Q['NZL'],SCO v ,18-30,2:4,0-5,"Murrayfield, Edinburgh", 
"Sun, 24 Oct 1999",WC,Q['FRA'], v ARG,47-26,5:2,5-0,"Lansdowne Rd, Dublin",Y
"Sun, 24 Oct 1999",WC,Q['SAF'],ENG v ,21-44,0:2,0-4,"Stade de France, Paris",Y
"Sat, 30 Oct 1999",WC,Semi , v SAF,27-21,0:0,4-1,"Twickenham, London",Y
"Sun, 31 Oct 1999",WC,Semi ,NZL v ,31-43,3:4,0-5,"Twickenham, London",Y
"Thu, 04 Nov 1999",WC,3&4 ,NZL v ,18-22,0:1,1-4,"Millennium Stadium, Cardiff",Y
"Sat, 06 Nov 1999",WC,F['AUS'], v FRA,35-12,2:0,4-0,"Millennium Stadium, Cardiff",Y
"Sat, 05 Feb 2000",6N,1 , v SCO,34-20,1:2,4-0,"Stadio Flaminio, Rome", 
"Sat, 05 Feb 2000",6N,1 ,WAL v ,3-36,0:3,0-4,"Millennium Stadium, Cardiff", 
"Sat, 05 Feb 2000",6N,1 , v IRE,50-18,6:2,5-0,"Twickenham, London", 
"Sat, 19 Feb 2000",6N,2 , v SCO,44-22,5:3,5-0,"Lansdowne Rd, Dublin", 
"Sat, 19 Feb 2000",6N,2 , v ITA,47-16,4:1,5-0,"Millennium Stadium, Cardiff", 
"Sat, 19 Feb 2000",6N,2 ,FRA v ,9-15,0:0,1-4,"Stade de France, Paris", 
"Sat, 04 Mar 2000",6N,3 , v ITA,60-13,6:1,5-0,"Lansdowne Rd, Dublin", 
"Sat, 04 Mar 2000",6N,3 ,SCO v ,16-28,1:3,0-4,"Murrayfield, Edinburgh", 
"Sat, 04 Mar 2000",6N,3 , v WAL,46-12,5:0,5-0,"Twickenham, London", 
"Sat, 18 Mar 2000",6N,4 ,ITA v ,12-59,2:8,0-5,"Stadio Flaminio, Rome", 
"Sat, 18 Mar 2000",6N,4 , v SCO,26-18,2:2,4-0,"Millennium Stadium, Cardiff", 
"Sun, 19 Mar 2000",6N,4 ,FRA v ,25-27,1:3,1-4,"Stade de France, Paris", 
"Sat, 01 Apr 2000",6N,5 ,IRE v ,19-23,1:2,1-4,"Lansdowne Rd, Dublin", 
"Sat, 01 Apr 2000",6N,5 , v ITA,42-31,5:4,5-1,"Stade de France, Paris", 
"Sun, 02 Apr 2000","6N,CA",5 , v ENG,19-13,1:1,4-1,"Murrayfield, Edinburgh", 
"Sun, 28 May 2000", ,R['FRA'],20-67,3:10,0-5,Bucharest, 
"Sat, 03 Jun 2000",ST, , v IRE,34-23,3:4,4-1,"FC Oeste, Buenos Aires", 
"Sat, 10 Jun 2000",ST, , v CAN,51-18,8:2,5-0,East_London, 
"Sat, 10 Jun 2000", ,U['IRE'],3-83,0:13,0-5,Manchester_USA, 
"Fri, 16 Jun 2000", ,[ v TON,102-0,15:0,5-0,Albany, 
"Sat, 17 Jun 2000",TO, , v ARG,53-6,9:0,5-0,"Ballymore, Brisbane", 
"Sat, 17 Jun 2000",ST, , v ENG,18-13,0:1,4-1,"Loftus Versfeld, Pretoria", 
"Sat, 17 Jun 2000", ,CAN v IRE,27-27,3:3,2-2,Markham, 
"Sat, 24 Jun 2000",TO, , v ARG,32-25,3:2,4-1,"Bruce Stadium, Canberra", 
"Sat, 24 Jun 2000",ST,1 , v SCO,69-20,11:2,5-0,"Carisbrook, Dunedin", 
"Sat, 24 Jun 2000",ST, ,SAF v ,22-27,1:0,1-4,"Vodacom Park, Bloemfontein", 
"Sat, 24 Jun 2000", ,[ v SAM,16-13,1:1,4-1,Nuku A'lofa, 
"Sat, 01 Jul 2000",ST,2 , v SCO,48-14,8:2,5-0,"Eden Park, Auckland", 
"Sat, 08 Jul 2000",ST, , v ITA,43-24,5:3,5-0,Apia, 
"Sat, 08 Jul 2000",MP,a , v SAF,44-23,5:3,5-0,"Colonial Stadium, Melbourne", 
"Sat, 15 Jul 2000",ST, , v ITA,43-9,5:0,5-0,"National Stadium, Suva", 
"Sat, 15 Jul 2000","3N,BC",a ,AUS v ,35-39,5:5,2-5,"Stadium Australia, Sydney", 
"Sat, 22 Jul 2000",3N, , v SAF,25-12,2:0,4-0,"Jade Stadium, Christchurch", 
"Sat, 29 Jul 2000",3N, , v SAF,26-6,2:0,4-0,"Stadium Australia, Sydney", 
"Sat, 05 Aug 2000","3N,BC",a ,NZL v ,23-24,2:2,1-4,"Westpac Trust, Wellington", 
"Sat, 19 Aug 2000",3N, , v NZL,46-40,6:4,5-2,"Ellis Park, Johannesburg", 
"Sat, 26 Aug 2000",3N, ,SAF v ,18-19,0:1,1-4,"Kings Park Stadium, Durban", 
"Sat, 04 Nov 2000",AI, , v USA,53-6,6:0,5-0,"Murrayfield, Edinburgh", 
"Sat, 04 Nov 2000",AI, ,FRA v ,13-18,1:0,1-4,"Stade de France, Paris", 
"Sat, 11 Nov 2000","AI,DG", ,FRA v ,26-39,2:2,0-4,"Stade de France, Paris", 
"Sat, 11 Nov 2000",AI, , v JAP,78-9,11:0,5-0,"Lansdowne Rd, Dublin", 
"Sat, 11 Nov 2000","AI,HC", ,SCO v ,9-30,0:3,0-4,"Murrayfield, Edinburgh", 
"Sat, 11 Nov 2000",AI, , v SAM,50-6,6:0,5-0,"Millennium Stadium, Cardiff", 
"Sat, 11 Nov 2000",AI, ,ITA v ,17-22,1:1,1-4,Rovigo, 
"Sun, 12 Nov 2000", ,A['SAF'],33-37,3:5,1-5,"River Plate, Buenos Aires", 
"Sat, 18 Nov 2000","AI,CC",e , v AUS,22-19,1:1,4-1,"Twickenham, London", 
"Sat, 18 Nov 2000",AI, , v SAM,31-8,4:1,5-0,"Murrayfield, Edinburgh", 
"Sat, 18 Nov 2000",AI, , v USA,42-11,6:1,5-0,"Millennium Stadium, Cardiff", 
"Sat, 18 Nov 2000",AI, , v NZL,42-33,3:3,4-0,Marseille, 
"Sat, 18 Nov 2000",AI, , v ROM,37-17,7:2,5-0,Benevento, 
"Sun, 19 Nov 2000",AI, ,IRE v ,18-28,2:3,0-4,"Lansdowne Rd, Dublin", 
"Sat, 25 Nov 2000",AI, ,ITA v ,19-56,2:8,0-5,Genoa, 
"Sat, 25 Nov 2000",AI, , v ARG,19-0,1:0,4-0,"Twickenham, London", 
"Sun, 26 Nov 2000",AI, ,WAL v ,13-23,1:2,0-4,"Millennium Stadium, Cardiff", 
"Sat, 02 Dec 2000",AI, , v SAF,25-17,1:1,4-0,"Twickenham, London", 
"Sat, 03 Feb 2001",6N,1 ,ITA v ,22-41,3:4,0-5,"Stadio Flaminio, Rome", 
"Sat, 03 Feb 2001",6N,1 ,WAL v ,15-44,2:6,0-5,"Millennium Stadium, Cardiff", 
"Sun, 04 Feb 2001",6N,1 , v SCO,16-6,1:0,4-0,"Stade de France, Paris", 
"Sat, 17 Feb 2001",6N,2 , v FRA,22-15,1:2,4-1,"Lansdowne Rd, Dublin", 
"Sat, 17 Feb 2001",6N,2 ,SCO v WAL,28-28,3:1,2-2,"Murrayfield, Edinburgh", 
"Sat, 17 Feb 2001",6N,2 , v ITA,80-23,10:2,5-0,"Twickenham, London", 
"Sat, 03 Mar 2001","6N,CA",3 , v SCO,43-3,6:0,5-0,"Twickenham, London", 
"Sat, 03 Mar 2001",6N,3 ,ITA v ,19-30,1:3,0-4,"Stadio Flaminio, Rome", 
"Sat, 17 Mar 2001",6N,4 , v ITA,23-19,1:1,4-1,"Murrayfield, Edinburgh", 
"Sat, 17 Mar 2001",6N,4 ,FRA v ,35-43,2:4,0-5,"Stade de France, Paris", 
"Sat, 07 Apr 2001",6N,5 , v FRA,48-19,6:1,5-0,"Twickenham, London", 
"Sun, 08 Apr 2001",6N,5 ,ITA v ,23-33,1:3,0-4,"Stadio Flaminio, Rome", 
"Sat, 19 May 2001", ,[ v URU,32-27,4:2,5-1,Kingston_CAN,Y
"Wed, 23 May 2001",ST, , v USA,44-16,7:1,5-0,"Mohawk Sports Pk, Hamilton_CAN",Y
"Sat, 02 Jun 2001", ,C['ENG'],10-22,1:4,0-5,Markham, 
"Sat, 02 Jun 2001", ,R['IRE'],3-37,0:4,0-5,Bucharest, 
"Sat, 02 Jun 2001", ,[ v TON,20-18,2:2,4-1,Apia, 
"Sat, 09 Jun 2001", ,C['ENG'],20-59,2:8,0-5,Burnaby, 
"Sun, 10 Jun 2001", ,J['WAL'],10-64,2:10,0-5,"Hanazono Stadium, Osaka", 
"Sat, 16 Jun 2001",ST, ,SAF v ,23-32,1:2,0-4,"Ellis Park, Johannesburg", 
"Sat, 16 Jun 2001", ,[ v SAM,50-6,7:0,5-0,Albany, 
"Sat, 16 Jun 2001", ,U['ENG'],19-48,3:8,0-5,San Francisco, 
"Sun, 17 Jun 2001", ,J['WAL'],30-53,3:9,0-5,"Prince Chichibu Stadium, Tokyo", 
"Sat, 23 Jun 2001",ST, , v FRA,20-15,1:0,4-1,"Kings Park Stadium, Durban", 
"Sat, 23 Jun 2001", ,[ v ARG,67-19,10:2,5-0,"Jade Stadium, Christchurch", 
"Fri, 29 Jun 2001", ,T['SAM'],14-23,2:2,0-4,Nuku A'lofa, 
"Sat, 30 Jun 2001","ST,DG", , v FRA,37-12,4:0,5-0,"Westpac Trust, Wellington", 
"Sat, 30 Jun 2001",ST, , v ITA,60-14,8:1,5-0,"Boet Erasmus, Pt Elizabeth", 
"Sat, 30 Jun 2001",LT,1 ,AUS v ,13-29,2:4,0-5,"Woolloongabba, Brisbane", 
"Sat, 07 Jul 2001",ST, ,URU v ,3-14,0:1,0-4,Montevideo, 
"Sat, 07 Jul 2001",LT,2 , v LIO,35-14,3:1,4-0,"Colonial Stadium, Melbourne", 
"Sat, 14 Jul 2001",ST, , v ITA,38-17,4:1,5-0,"FC Oeste, Buenos Aires", 
"Sat, 14 Jul 2001",LT,3 , v LIO,29-23,2:2,4-1,"Stadium Australia, Sydney", 
"Sat, 21 Jul 2001",3N, ,SAF v ,3-12,0:0,0-4,"Newlands, Cape Town", 
"Sat, 28 Jul 2001",3N, , v AUS,20-15,1:0,4-1,"Loftus Versfeld, Pretoria", 
"Sat, 11 Aug 2001","3N,BC",a ,NZL v ,15-23,2:2,0-4,"Carisbrook, Dunedin", 
"Sat, 18 Aug 2001",3N, ,AUS v SAF,14-14,1:1,2-2,"Subiaco Oval, Perth_AUS", 
"Sat, 25 Aug 2001",3N, , v SAF,26-15,2:0,4-0,"Eden Park, Auckland", 
"Sat, 01 Sep 2001","3N,BC",a , v NZL,29-26,2:2,4-1,"Stadium Australia, Sydney", 
"Wed, 19 Sep 2001", ,[ v ROM,81-9,11:0,5-0,"Millennium Stadium, Cardiff", 
"Sat, 22 Sep 2001",6N,5 , v IRE,32-10,4:1,5-0,"Murrayfield, Edinburgh", 
"Sat, 13 Oct 2001",6N,3 ,WAL v ,6-36,0:3,0-4,"Millennium Stadium, Cardiff", 
"Sat, 20 Oct 2001",6N,4 , v ENG,20-14,1:1,4-1,"Lansdowne Rd, Dublin", 
"Thu, 01 Nov 2001", ,S['AUS'],10-92,1:13,0-5,Madrid, 
"Sat, 10 Nov 2001","AI,CC",e , v AUS,21-15,0:2,4-1,"Twickenham, London", 
"Sat, 10 Nov 2001",AI, , v FIJ,66-10,7:1,5-0,Treviso, 
"Sat, 10 Nov 2001",AI, , v TON,43-20,4:1,5-0,"Murrayfield, Edinburgh", 
"Sat, 10 Nov 2001",AI, ,WAL v ,16-30,1:2,0-4,"Millennium Stadium, Cardiff", 
"Sat, 10 Nov 2001",AI, , v SAF,20-10,1:1,4-0,"Stade de France, Paris", 
"Sun, 11 Nov 2001",AI, , v SAM,35-8,4:1,5-0,"Lansdowne Rd, Dublin", 
"Sat, 17 Nov 2001",AI, ,ITA v ,26-54,2:8,0-5,Genoa, 
"Sat, 17 Nov 2001",AI, ,IRE v ,29-40,3:6,0-5,"Lansdowne Rd, Dublin", 
"Sat, 17 Nov 2001",AI, , v TON,51-7,6:1,5-0,"Millennium Stadium, Cardiff", 
"Sat, 17 Nov 2001",AI, , v ROM,134-0,20:0,5-0,"Twickenham, London", 
"Sat, 17 Nov 2001",AI, , v AUS,14-13,1:1,4-1,Marseille, 
"Sun, 18 Nov 2001",AI, ,SCO v ,16-25,2:1,0-4,"Murrayfield, Edinburgh", 
"Sat, 24 Nov 2001",AI, ,SCO v ,6-37,0:3,0-4,"Murrayfield, Edinburgh", 
"Sat, 24 Nov 2001",AI, , v SAF,29-9,1:0,4-0,"Twickenham, London", 
"Sat, 24 Nov 2001",AI, , v FIJ,77-10,12:1,5-0,St Etienne, 
"Sat, 24 Nov 2001",AI, ,ITA v ,9-17,0:1,0-4,L'Aquila, 
"Sun, 25 Nov 2001",AI, ,WAL v ,13-21,1:0,0-4,"Millennium Stadium, Cardiff", 
"Sat, 01 Dec 2001", ,A['NZL'],20-24,2:2,1-4,"River Plate, Buenos Aires", 
"Sat, 01 Dec 2001", ,U['SAF'],20-43,1:6,0-5,Houston, 
"Sat, 02 Feb 2002","6N,CA",1 ,SCO v ,3-29,0:4,0-5,"Murrayfield, Edinburgh", 
"Sat, 02 Feb 2002",6N,1 , v ITA,33-12,2:0,4-0,"Stade de France, Paris", 
"Sun, 03 Feb 2002",6N,1 , v WAL,54-10,6:1,5-0,"Lansdowne Rd, Dublin", 
"Sat, 16 Feb 2002",6N,2 ,ITA v ,12-29,0:2,0-4,"Stadio Flaminio, Rome", 
"Sat, 16 Feb 2002",6N,2 ,WAL v ,33-37,3:3,1-4,"Millennium Stadium, Cardiff", 
"Sat, 16 Feb 2002",6N,2 , v IRE,45-11,6:1,5-0,"Twickenham, London", 
"Sat, 02 Mar 2002",6N,3 , v SCO,43-22,5:1,5-0,"Lansdowne Rd, Dublin", 
"Sat, 02 Mar 2002",6N,3 , v ITA,44-20,5:2,5-0,"Millennium Stadium, Cardiff", 
"Sat, 02 Mar 2002",6N,3 , v ENG,20-15,2:2,4-1,"Stade de France, Paris", 
"Sat, 23 Mar 2002",6N,4 , v ITA,32-17,3:2,4-0,"Lansdowne Rd, Dublin", 
