Team,Result,For,Aga,Diff,Tries,Conv,Pens,Drop,GfM,Opposition,Ground,Match Date
Sweden,won,92,4,-,-,-,-,-,v Finland,Oslo,30 Sep 1989
Korea,won,97,9,-,-,-,-,-,v Thailand,Hong Kong,22 Sep 1992
Georgia,won,88,0,14,9,0,0,0,v Netherlands,Tbilisi,3 Feb 2002
Japan,won,91,3,12,11,3,0,0,v Hong Kong,Tokyo,8 May 2005
Australia,won,91,3,13,10,2,0,0,v Japan,Lyon,8 Sep 2007
Korea,won,90,3,13,11,1,0,0,v Singapore,Kuala Lumpur,25 Oct 1994
Korea,won,90,3,-,-,-,-,-,v Sri Lanka,Bangkok,10 Dec 1998
Barbados,won,87,0,-,-,-,-,-,v St Lucia,Port-of-Spain,13 Aug 2005
Paraguay,won,94,7,-,-,-,-,-,v Venezuela,Asuncion,28 Sep 2005
New Zealand,won,101,14,15,13,0,0,0,v Samoa,New Plymouth,3 Sep 2008
South Africa,won,87,0,12,12,1,0,0,v Namibia,North Shore City,22 Sep 2011
Japan,won,87,0,13,11,0,0,0,v Kazakhstan,Almaty,28 Apr 2012
Botswana,won,87,0,-,-,-,-,-,v Swaziland,Gaberone,15 Jun 2014
Niue Island,won,87,0,-,-,-,-,-,v ,Port Moresby,31 Aug 2019
Fiji,won,86,0,18,7,0,0,0,v PNG,Suva,30 Aug 1979
Fiji,won,86,0,16,11,0,0,0,v Solomon Is,Apia,8 Sep 1983
Papua New Guinea,won,92,6,16,6,0,0,0,v Tahiti,Port Moresby,8 Feb 1997
Cook Islands,won,86,0,14,8,0,0,0,v Tahiti,Raratonga,2 Jun 2001
Costa Rica,won,91,5,-,-,-,-,-,v Panama,Tres Rios,27 Aug 2017
Malta,won,89,3,15,7,0,0,0,v Andorra,Paola,24 Mar 2018
Slovenia,won,91,5,14,9,1,0,0,v Slovakia,Ljubliana,18 May 2019
Fiji,won,88,3,20,14,0,0,0,v PNG,Port Moresby,23 Aug 1969
Hong Kong,won,91,6,-,-,-,-,-,v Malaysia,Taipei,11 Nov 1980
New Zealand,won,93,8,14,10,1,0,0,v Argentina,Wellington,21 Jun 1997
Singapore,won,85,0,13,10,0,0,0,v India,Singapore,26 Oct 1998
Switzerland,won,85,0,13,10,0,0,0,v Slovenia,Nyon,17 Mar 2012
Japan,won,85,0,13,10,0,0,0,v Korea,Kanagawa,30 Apr 2016
New Zealand,won,92,7,14,11,0,0,0,v Tonga,Hamilton,7 Sep 2019
Thailand,won,90,6,14,10,0,0,0,v India,Singapore,28 Oct 1998
New Zealand,won,91,7,13,13,0,0,0,v Tonga,Brisbane,24 Oct 2003
Uruguay,won,92,8,14,11,0,0,0,v Venezuela,Santiago,24 Apr 2004
Chinese Taipei,won,86,3,16,11,0,0,0,v Singapore,Hong Kong,15 Nov 1988
South Africa,won,96,13,15,9,1,0,0,v Wales,Pretoria,27 Jun 1998
Russia,won,89,6,0,7,0,0,0,v Germany,Krasnodar,16 Apr 2000
Japan,won,86,3,12,10,2,0,0,v Korea,Osaka,15 Jun 2003
Italy,won,83,0,13,9,0,0,0,v Portugal,L'Aquila,7 Oct 2006
Argentina,won,83,0,13,9,0,0,0,v Brazil,Montevideo,4 May 2013
Spain,won,90,8,-,-,-,-,-,v Czech Rep,Madrid,2 Apr 1995
Australia,won,92,10,13,12,1,0,0,v Spain,Madrid,1 Nov 2001
Australia,won,90,8,13,11,1,0,0,v Romania,Brisbane,18 Oct 2003
Trinidad and Tobago,won,82,0,-,-,-,-,-,v St Lucia,Port-of-Spain,7 Aug 2005
Tonga,won,85,3,13,10,0,0,0,v Korea,Henderson,10 Feb 2007
Japan,won,82,0,12,11,0,0,0,v Korea,Tokyo,22 Apr 2007
Slovakia,won,82,0,14,6,0,0,0,v Pres XV,Podgorica,11 Apr 2015
Pakistan,won,82,0,14,6,0,0,0,v Kyrgystan,Almaty,16 May 2018
Papua New Guinea,won,89,7,-,-,-,-,-,v ,Port Moresby,23 Aug 2019
Norway,won,86,5,-,-,-,-,-,v Finland,Oslo,1 Oct 1989
Switzerland,won,90,9,14,10,0,0,0,v Bulgaria,Pernik,14 Oct 2000
Cameroon,won,81,0,-,-,-,-,-,v Mauritania,Bamako,10 Oct 2003
Korea,won,99,18,-,-,-,-,-,v C Taipai,Seoul,22 May 2004
Malawi,won,81,0,-,-,-,-,-,v Mauritania,Dakar,9 Jun 2004
Hong Kong,won,91,10,13,12,0,0,0,v Malaysia,Hong Kong,26 May 2018
Ireland,won,83,3,13,9,0,0,0,v USA,Manchester,10 Jun 2000
Ivory Coast,won,83,3,12,10,1,0,0,v Mauritius,Yamoussoukro,26 Jun 2013
Fiji,won,79,0,19,11,0,0,0,v PNG,Port Moresby,18 Aug 1969
Kazakhstan,won,89,10,-,-,-,-,-,v India,Bangkok,18 Nov 2002
Namibia,won,89,10,13,12,0,0,0,v Madagascar,Antananarive,6 Jul 2014
Romania,won,85,6,13,10,0,0,0,v Germany,Cluj,10 Feb 2018
Paraguay,won,86,7,11,0,0,0,0,v Guyana,Medellin,29 Aug 2018
Argentina,won,84,6,17,8,0,0,0,v Brazil,Buenos Aires,1 Oct 1991
Ukraine,won,78,0,-,-,-,-,-,v Austria,Vienna,14 May 1994
Romania,won,83,5,13,9,0,0,0,v Belgium,Bucharest,19 Apr 1996
Argentina,won,78,0,12,9,0,0,0,v Paraguay,Corrientes,13 Sep 1997
England,won,84,6,12,9,2,0,0,v Georgia,Perth,12 Oct 2003
Uruguay,won,85,7,12,8,3,0,0,v Paraguay,Montevideo,25 Apr 2009
New Zealand,won,78,0,12,9,0,0,0,v Samoa,Auckland,16 Jun 2017
Uruguay,won,77,0,13,11,1,0,0,v Brazil,Montevideo,21 May 1981
Namibia,won,86,9,16,11,0,0,0,v Portugal,Windhoek,21 Apr 1990
Spain,won,77,0,-,-,-,-,-,v Belgium,Madrid,8 Dec 1996
Denmark,won,83,6,-,-,-,-,-,v Lithuania,Copenhagen,29 May 1999
Austria,won,77,0,13,6,0,0,0,v Luxembourg,Vienna,12 May 2001
Cameroon,won,80,3,-,-,-,-,-,v Togo,Bamako,5 Oct 2003
Tanzania,won,77,0,-,-,-,-,-,v Burundi,Dar es Salaam,9 Aug 2005
France,won,87,10,13,11,0,0,0,v Namibia,Toulouse,16 Sep 2007
New Zealand,won,85,8,13,10,0,0,0,v Romania,Toulouse,29 Sep 2007
Japan,won,87,10,13,11,0,0,0,v Kazakhstan,Osaka,25 Apr 2009
Japan,won,90,13,14,10,0,0,0,v Sri Lanka,Colombo,21 May 2011
Niger,won,82,5,-,-,-,-,-,v Benin,Ouagadougou,27 May 2015
Qatar,won,77,0,13,6,0,0,0,v Jordan,Doha,30 Mar 2019
Colombia,won,83,6,13,8,0,0,0,v Cayman Is,Medellin,25 Aug 2019
Fiji,won,76,0,14,10,0,0,0,v Belgium,Liege,7 Oct 1989
Australia,won,76,0,11,6,3,0,0,v England,Brisbane,6 Jun 1998
Japan,won,82,6,12,11,0,0,0,v Kazakhstan,Almaty,10 May 2008
New Zealand,won,83,7,13,9,0,0,0,v Japan,Hamilton,16 Sep 2011
Qatar,won,76,0,11,9,1,0,0,v China,Kuala Lumpur,5 Jun 2013
Croatia,won,78,3,-,-,-,-,-,v Hungary,Sisak,22 May 1993
Argentina,won,78,3,11,7,3,0,0,v Chile,Santiago,30 Sep 1995
Uruguay,won,81,6,12,9,1,0,0,v Paraguay,Mendoza,3 May 2002
Tonga,won,75,0,12,6,1,0,0,v Korea,Seoul,15 Mar 2003
Mauritius,won,75,0,-,-,-,-,-,v Burundi,Dar es Salaam,13 Aug 2005
Chile,won,78,3,9,9,5,0,0,v Brazil,Vina del Mar,25 Apr 2009
Papua New Guinea,won,78,3,-,-,-,-,-,v Vanuatu,Port Moresby,29 Nov 2011
Hong Kong,won,85,10,14,6,1,0,0,v UAE,Dubai,27 Apr 2012
Argentina,won,85,10,13,10,0,0,0,v Chile,Montevideo,1 May 2013
United Arab Emirates,won,82,7,12,11,0,0,0,v Guam,Hua Hin,15 May 2019
Argentina,won,77,3,12,10,3,0,0,v Paraguay,Tucuman,29 Oct 1977
Poland,won,74,0,-,-,-,-,-,v Norway,Riga,24 Sep 1994
Australia,won,74,0,12,7,0,0,0,v Tonga,Canberra,22 Sep 1998
Thailand,won,86,12,-,-,-,-,-,v India,Bangkok,26 Jun 2004
Brazil,won,74,0,12,7,0,0,0,v Colombia,Sao Paulo,13 Oct 2004
Paraguay,won,74,0,-,-,-,-,-,v Peru,Sao Paulo,13 Oct 2004
Wales,won,77,3,11,11,0,0,0,v USA,Hartford,4 Jun 2005
Paraguay,won,82,8,-,-,-,-,-,v Colombia,Asuncion,23 Sep 2005
Sri Lanka,won,77,3,-,-,-,-,-,v Malaysia,Colombo,7 Nov 2007
Guam,won,74,0,-,-,-,-,-,v Brunei,Guam,28 Jun 2008
Papua New Guinea,won,86,12,-,-,-,-,-,v Vanuatu,Port Moresby,27 Jun 2009
Georgia,won,77,3,11,11,0,0,0,v Germany,Tbilisi,6 Feb 2010
Zimbabwe,won,84,10,12,9,2,0,0,v Botswana,Bulawayo,30 Jun 2010
Wales,won,81,7,12,9,1,0,0,v Namibia,New Plymouth,26 Sep 2011
Ivory Coast,won,77,3,10,9,3,0,0,v Zambia,Yamoussoukro,22 Jun 2013
Morocco,won,77,3,11,8,2,0,0,v Niger,Yamoussoukro,22 Jun 2013
Uruguay,won,77,3,11,11,0,0,0,v Paraguay,Montevideo,11 Apr 2015
Namibia,won,80,6,12,10,0,0,0,v Zimbabwe,Windhoek,15 Aug 2015
Spain,won,84,10,12,8,2,0,0,v Germany,Madrid,11 Mar 2018
Sweden,won,80,6,12,10,0,0,0,v Moldova,Norrkoping,20 Oct 2018
Poland,won,73,0,-,-,-,-,-,v East Germany,Pilawa,-
Romania,won,76,3,-,-,-,-,-,v Spain,Bucharest,16 Apr 1978
Hong Kong,won,76,3,-,-,-,-,-,v Malaysia,Hong Kong,22 Sep 1992
Bermuda,won,78,5,-,-,-,-,-,v Trinidad & T,-,-
Bermuda,won,78,5,-,-,-,-,-,v Trinidad & T,-,17 May 1994
Andorra,won,76,3,-,-,-,-,-,v Norway,Andorra la Vella,4 Sep 2004
Japan,won,82,9,13,7,1,0,0,v Arabian Gulf,Tokyo,16 Apr 2006
Argentina,won,72,0,18,9,0,0,0,v Brazil,Buenos Aires,13 Sep 1951
Soviet Union,won,72,0,-,-,-,-,-,v Sweden,Tbilisi,-
Argentina,won,78,6,13,7,4,0,0,v Brazil,Tucuman,25 Oct 1977
Wales,won,81,9,11,10,2,0,0,v Romania,Millennium Stadium,19 Sep 2001
Thailand,won,72,0,-,-,-,-,-,v Sri Lanka,Bangkok,18 Nov 2002
Tonga,won,84,12,12,9,1,1,0,v PNG,Nuku A'lofa,7 Dec 2002
